word,definition,pos,examples
felicitous,"Well chosen or suited to the circumstances",ADJ,"Her felicitous remarks lightened the mood."
ebullient,"extremely lively, enthusiastic",ADJ,She was ebullient after receiving the good news.
abide,"To accept, act in accordance with, or remain stable and endure through time.",VERB,"Her deep love for classical music will abide forever."
abase,"to humiliate, degrade",VERB,"After being overthrown and abased, the deposed leader offered to bow down to his conqueror."
abeyance,"temporary suppression or supension",NOUN,"Once the famine was over, the food rationing dictated by the government was put in abeyance."
abnegation,denial of comfort to oneself,NOUN,"The holy man slept on the floor, took only cold showers, and generally followed other practices of abnegation."
abstruse,hard to comprehend,ADJ,"Everyone else in the class understood geometry easily, but John found the subject abstruse."
adumbrate,to sketch out in a vague way,VERB,"The coach adumbrated a game plan, but none of the players knew precisely what to do."
aeipathy,An enduring and consuming passion,NOUN,His aeipathy for music led him to tour the world.
allegory,"A story, poem, or picture that can be interpreted to reveal a hidden meaning",NOUN,Animal Farm by George Orwell is an allegory that uses animals to represent political figures and events.
allusion,"An indirect reference to a person, place, thing, or idea in literature",NOUN,"The writer used an allusion to Shakespeare's ""Hamlet"" in her novel."
amatory,Intended to stir up romantic feelings,ADJ,He wrote an amatory poem for her.
ameliorate,to improve,VERB,A solution to ameliorate the negative impact of these areas is needed.
anachronism,something that doesn't fit its time period,NOUN,These days the habit of introducing yourself to a new neighbor with a welcome gift has become an anachronism.
analepsis,A literary device for flashback storytelling.,NOUN,The story used analepsis to reveal past events.
antediluvian,ancient,ADJ,The antediluvian man still believed that Eisenhower was president of the United States and that hot dogs cost a nickel.
anthropomorphous,Looking or acting like a human.,ADJ,The cartoon featured an anthropomorphous dog detective.
antilogy,Contradiction in words or ideas,NOUN,His speech was full of antilogy.
apostasy,the abandonment or renunciation of a religious or political belief,NOUN,"Acts of apostasy, or formally quitting the church as Gala did, are on the rise in Poland."
arcane,"obscure, secret, known only by a few",ADJ,The professor is an expert in arcane Lithuanian literature.; The arcane language was rarely seen before the discovery of the cave writings.
archetypal,the most representative or typical example of something,ADJ,"Some believe George Washington, with his flowing white hair and commanding stature, was the archetypal politician."
athwart,Going or lying across,ADV,The cat lay athwart the doorway.
augury,prophecy; prediction of events,NOUN,There are those who view the virus as an augury of the world coming to an end.
avarice,excessive greed,NOUN,The banker's avarice led him to amass a tremendous personal fortune.
axiom,"a statement or proposition which is regarded as being established, accepted, or self-evidently true",NOUN,"A fundamental axiom of economics is that when two individuals or countries trade, both are better off"
beguile,"to trick, deceive",VERB,The thief beguiled his partners into surrendering all of their money to him.
bilk,"cheat, defraud",VERB,The lawyer discovered that this firm had bilked several clients out of thousands of dollars.
bloviate,To speak pompously,VERB,Jerry tended to bloviate about his financial acumen.
bonhomie,good-natured easy friendliness,NOUN,The bonhomie ended when a hostile argument broke out between neighbors.
catechize,To teach by asking questions,VERB,The teacher catechized the students.
cavil,To make petty or unnecessary objections,VERB,She tended to cavil about minor details instead of focusing on the main issue.
censorious,severely critical of others,ADJ,"modest, charitable in his judgments, never censorious, Jim carried tolerance almost too far"
characterization,The process by which the personality of a fictitious character is revealed,NOUN,The author used detailed descriptions and dialogue to enhance the characterization of the protagonist.
chicanery,"the use of trickery to achieve a political, financial, or legal purpose",NOUN,People don't trust you because of your chicanery.
clandestine,secret,ADJ,"At the end of Friday's episode, the traitors had been given the opportunity to unmask the secret traitor if they completed a clandestine task."
coalesce,to fuse into a whole,VERB,Gordon's ensemble of thrift-shop garments coalesced into a surprisingly handsome outfit.
confluence,a gathering together,NOUN,A confluence of different factors made tonight the perfect night.
consonant,in harmony,ADJ,The singers' consonant voices were beautiful.
contemporaneous,existing during the same time,ADJ,"Though her novels do not feature the themes of Romanticism, Jane Austen's work was contemporaneous with that of Wordsworth and Byron."
contravene,"to contradict, oppose, violate",VERB,Edwidge contravened his landlady's rule against overnight guests.
contrite,"penitent, eager to be forgiven ",ADJ,Blake's contrite behavior made it impossible to stay angry at him.
copacetic,In excellent order,ADJ,"Palmer apologized and thought everything was copacetic between them � until a few days later, in her trailer, a co-star gave her a different read on the situation."
cosset,to pamper; treat with great care,VERB,"From buying expensive toys to boxing vegetable-free lunches, the mother would cosset to her child's every whim."
coterie,an intimate group of persons with a similar purpose,NOUN,Darroch also threw a lavish affair last year for the royal wedding of Prince Harry and Meghan Markle that brought a coterie of the administration to the British Embassy.
craven,lacking the least bit of courage: contemptibly fainthearted,ADJ,a craven refusal to deliver the unwelcome news personally.
crescive,Growing or increasing gradually,ADJ,The crescive trend showed improvement over time.
cupidity,"greed, strong desire",NOUN,"His cupidity made him enter the abandoned gold mine despite the obvious dangers.; The thief's cupidity made him stay too long in the bank vault, leading to his capture."
de rigueur,required by etiquette or current fashion.,ADJ,it was de rigueur for bands to grow their hair long
debase,to lower the quality or esteem of something,VERB,The large raise that he gave himself debased his motives for running the charity.
deleterious,harmful,ADJ,She experienced the deleterious effects of running a marathon without stretching her muscles enough beforehand.
delineate,"to describe, outline, shed light on",VERB,She neatly delineated her reasons for canceling the project's funding.
deliquescing,"gerund or present participle: deliquescing; (of organic matter) become liquid, typically during decomposition.; (of a solid) become liquid by absorbing moisture from the air.",VERB,"But here in C�zanne�s watercolors of the cliffs of Provence � deliquescent landscapes, rocks turned into fluid � still lies a master class for artists working in a totally transformed climate, culturally and ecologically speaking."
demonstrative,"(of a person) tending to show feelings, especially of affection, openly.",ADJ,we were a very physically demonstrative family
demur,to express doubts or objections,VERB,"Though she didn't want to go on vacation with her parents, Jess found it hard to demur their request."
deride,"to laugh at mockingly, scorn",VERB,The bullies derided the foreign student's accent.
